[-14.8222637176514, 0.948026239871979, 2.1526346206665]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-13.9205284118652, 0.918987572193146, 2.10114884376526]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-14.0768423080444, 1.92957949638367, 2.02089691162109]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-14.990740776062, 2.10218238830566, 2.16269564628601]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-15.9177436828613, 1.900350689888, 1.99804186820984]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-13.9375896453857, 1.99169337749481, 1.95588982105255]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-14.5077590942383, 1.68424510955811, 2.17359733581543]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-13.5736131668091, 1.25182914733887, 1.86688220500946]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-14.6467771530151, 1.65315878391266, 1.96823489665985]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-15.0766916275024, 1.2921758890152, 1.88390278816223]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-14.3008346557617, 1.62027192115784, 1.9676468372345]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-13.5786657333374, 0.647205710411072, 2.16086363792419]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-13.1244440078735, 1.9420862197876, 1.98468518257141]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-13.5973377227783, 1.29773700237274, 1.99964809417725]::(226.0, 58.0, 193.0, 257.0)::(68.0, 14.0)->(0, 0)
[-13.3890266418457, 1.7053769826889, 1.95135450363159]::(226.0, 58.0, 193.0, 257.0)::(65.0, 14.0)->(0, 0)
[-13.3533763885498, 1.89324903488159, 2.07174181938171]::(226.0, 58.0, 193.0, 257.0)::(65.0, 14.0)->(0, 0)
[-13.6643018722534, 1.94095873832703, 1.85291576385498]::(226.0, 58.0, 193.0, 257.0)::(65.0, 14.0)->(0, 0)
[-14.2579135894775, 1.5728052854538, 1.97488641738892]::(230.0, 59.0, 185.0, 246.0)::(68.0, 14.0)->(0, 0)
