[-17.2799282073975, 19.5839290618896, -2.42275929450989]::(240.0, 73.0, 153.0, 204.0)::(48.0, 10.0)->(0, 0)
[-17.6528434753418, 18.5467624664307, -2.38791513442993]::(243.0, 80.0, 143.0, 190.0)::(48.0, 10.0)->(0, 0)
[-17.9784851074219, 19.5039749145508, -2.60690784454346]::(239.0, 71.0, 156.0, 208.0)::(48.0, 10.0)->(0, 0)
[-17.686336517334, 20.2245597839355, -2.74277067184448]::(239.0, 71.0, 156.0, 208.0)::(48.0, 10.0)->(0, 0)
[-18.1385860443115, 18.5962352752686, -2.38533306121826]::(239.0, 71.0, 156.0, 208.0)::(51.0, 10.0)->(0, 0)
[-18.8668651580811, 18.1491584777832, -2.24893951416016]::(239.0, 71.0, 156.0, 208.0)::(51.0, 10.0)->(0, 0)
[-18.2496032714844, 19.69801902771, -2.64849352836609]::(239.0, 71.0, 156.0, 208.0)::(51.0, 10.0)->(0, 0)
[-18.3829708099365, 19.5817070007324, -2.71179342269897]::(239.0, 71.0, 156.0, 208.0)::(48.0, 10.0)->(0, 0)
[-18.0180759429932, 19.4485988616943, -2.23649787902832]::(239.0, 71.0, 156.0, 208.0)::(48.0, 10.0)->(0, 0)
[-19.5071315765381, 18.9646282196045, -2.43769454956055]::(239.0, 71.0, 156.0, 208.0)::(48.0, 10.0)->(0, 0)
[-18.4224720001221, 19.0541305541992, -2.39661478996277]::(239.0, 71.0, 156.0, 208.0)::(48.0, 10.0)->(0, 0)
[-17.3946514129639, 18.4390888214111, -2.02023839950562]::(239.0, 71.0, 156.0, 208.0)::(48.0, 10.0)->(0, 0)
[-18.8219528198242, 18.2949676513672, -2.45200705528259]::(239.0, 71.0, 156.0, 208.0)::(51.0, 10.0)->(0, 0)
[-19.2155952453613, 19.9357318878174, -2.7696807384491]::(239.0, 71.0, 156.0, 208.0)::(48.0, 10.0)->(0, 0)
[-17.4532032012939, 18.332088470459, -2.07212066650391]::(241.0, 77.0, 146.0, 194.0)::(48.0, 10.0)->(0, 0)
[-17.7545375823975, 19.0068073272705, -1.98505342006683]::(241.0, 77.0, 146.0, 194.0)::(48.0, 10.0)->(0, 0)
[-16.4510154724121, 19.7466983795166, -2.02827453613281]::(241.0, 77.0, 146.0, 194.0)::(48.0, 10.0)->(0, 0)
[-18.5558242797852, 19.360818862915, -2.39197373390198]::(240.0, 72.0, 156.0, 208.0)::(54.0, 10.0)->(0, 0)
[-17.804048538208, 19.1976718902588, -2.13870692253113]::(240.0, 72.0, 156.0, 208.0)::(48.0, 10.0)->(0, 0)
[-16.4354667663574, 18.7284545898438, -1.97231829166412]::(243.0, 75.0, 147.0, 196.0)::(48.0, 10.0)->(0, 0)
[-17.7280292510986, 18.1578807830811, -2.12004423141479]::(243.0, 75.0, 147.0, 196.0)::(51.0, 10.0)->(0, 0)
[-17.7914962768555, 19.4041690826416, -2.22308540344238]::(243.0, 75.0, 147.0, 196.0)::(51.0, 10.0)->(0, 0)
[-16.8377780914307, 19.9908905029297, -2.12031531333923]::(243.0, 75.0, 147.0, 196.0)::(51.0, 10.0)->(0, 0)
[-16.9999046325684, 19.5283527374268, -2.07715392112732]::(243.0, 75.0, 147.0, 196.0)::(48.0, 10.0)->(0, 0)
[-17.5038814544678, 19.7211074829102, -2.18426609039307]::(243.0, 75.0, 147.0, 196.0)::(51.0, 10.0)->(0, 0)
[-18.1707782745361, 18.9561996459961, -2.13018918037415]::(243.0, 75.0, 147.0, 196.0)::(54.0, 10.0)->(0, 0)
[-17.2374534606934, 20.1133804321289, -2.04704880714417]::(243.0, 75.0, 147.0, 196.0)::(54.0, 10.0)->(0, 0)
[-17.3763809204102, 20.1075077056885, -2.10457420349121]::(243.0, 75.0, 147.0, 196.0)::(54.0, 10.0)->(0, 0)
[-17.4043006896973, 19.9535217285156, -2.27585577964783]::(243.0, 75.0, 147.0, 196.0)::(51.0, 10.0)->(0, 0)
[-16.9995098114014, 19.5195083618164, -2.2366099357605]::(243.0, 75.0, 147.0, 196.0)::(51.0, 10.0)->(0, 0)
[-18.4956912994385, 19.0154838562012, -2.17781972885132]::(243.0, 75.0, 147.0, 196.0)::(51.0, 10.0)->(0, 0)
[-18.5311393737793, 19.0280647277832, -2.26302862167358]::(243.0, 75.0, 147.0, 196.0)::(51.0, 10.0)->(0, 0)
[-19.0853118896484, 19.045970916748, -2.57440185546875]::(243.0, 75.0, 147.0, 196.0)::(54.0, 10.0)->(0, 0)
[-17.955545425415, 19.252836227417, -2.11972093582153]::(243.0, 75.0, 147.0, 196.0)::(51.0, 10.0)->(0, 0)
[-17.7269649505615, 19.7596035003662, -2.39070820808411]::(243.0, 75.0, 147.0, 196.0)::(48.0, 10.0)->(0, 0)
[-17.6064968109131, 18.7597846984863, -2.35813117027283]::(243.0, 75.0, 147.0, 196.0)::(54.0, 10.0)->(0, 0)
[-17.7015399932861, 19.5330696105957, -2.14838242530823]::(243.0, 75.0, 147.0, 196.0)::(51.0, 10.0)->(0, 0)
[-17.1401081085205, 18.9408702850342, -1.97413647174835]::(239.0, 72.0, 157.0, 209.0)::(51.0, 10.0)->(0, 0)
[-18.696231842041, 19.1266326904297, -2.33318686485291]::(239.0, 72.0, 157.0, 209.0)::(51.0, 10.0)->(0, 0)
