[-17.004638671875, -10.6614828109741, 2.77516555786133]::(250.0, 80.0, 143.0, 190.0)::(82.0, 10.0)->(0, 0)
[-16.6747303009033, -10.9209127426147, 3.0934579372406]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.7930011749268, -10.7551698684692, 2.87341928482056]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.1081867218018, -11.6783752441406, 2.66365146636963]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.4262580871582, -10.9401073455811, 2.77388215065002]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.5825443267822, -11.3326978683472, 2.91886448860168]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.7746810913086, -11.2265920639038, 3.08804273605347]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.5301246643066, -10.9690771102905, 2.85745716094971]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.3257827758789, -11.7719106674194, 3.02789783477783]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.6193218231201, -11.6379051208496, 3.18877482414246]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.777271270752, -10.9614953994751, 3.10919308662415]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-17.3686637878418, -11.3319845199585, 3.28612661361694]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-15.8866424560547, -12.0822162628174, 3.048091173172]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-17.2148532867432, -10.5178241729736, 3.01241302490234]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-17.4579944610596, -11.2168121337891, 3.24418640136719]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.0280151367188, -11.5136671066284, 3.12720012664795]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.7548980712891, -11.1413679122925, 2.8110294342041]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-17.06471824646, -10.5637674331665, 2.86181211471558]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.2360019683838, -11.5179414749146, 3.0695264339447]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.6153964996338, -10.9449415206909, 2.9730167388916]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.3232612609863, -12.0062484741211, 3.251788854599]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-16.6943397521973, -10.6378679275513, 2.68007493019104]::(250.0, 80.0, 143.0, 190.0)::(78.0, 10.0)->(0, 0)
[-17.0385055541992, -10.6538534164429, 2.87299299240112]::(250.0, 80.0, 143.0, 190.0)::(82.0, 10.0)->(0, 0)
