[-18.6772193908691, 1.81659638881683, 2.19482207298279]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-18.5596446990967, 1.52808201313019, 2.21887254714966]::(255.0, 105.0, 114.0, 152.0)::(60.0, 7.0)->(0, 0)
[-18.6469554901123, 0.913281440734863, 2.39452528953552]::(255.0, 105.0, 114.0, 152.0)::(60.0, 7.0)->(0, 0)
[-17.9796581268311, 1.92306756973267, 2.21207141876221]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-18.1325607299805, 1.1314469575882, 2.25944352149963]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-18.3152179718018, 0.633433997631073, 2.3973228931427]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-17.478551864624, 0.894068479537964, 2.39942574501038]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-17.5337753295898, 0.0754987448453903, 2.58521175384521]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-17.6956462860107, 0.95494681596756, 2.45148873329163]::(255.0, 105.0, 114.0, 152.0)::(60.0, 7.0)->(0, 0)
[-17.3840789794922, 1.12446081638336, 2.49728322029114]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-18.0603408813477, 1.52076804637909, 2.41745662689209]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-17.9679565429688, 1.19397902488708, 2.48456621170044]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-17.8697528839111, 1.75897860527039, 2.3635401725769]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-18.6865367889404, 1.66741836071014, 2.37144422531128]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-17.9614772796631, 1.0804135799408, 2.39541840553284]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-17.6179275512695, 1.37622761726379, 2.58037614822388]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-18.234224319458, 1.41768538951874, 2.4128201007843]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-18.2157955169678, 1.38690054416656, 2.35318350791931]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-18.0621891021729, 1.94723439216614, 2.16655278205872]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-18.5742568969727, 1.69004201889038, 2.19174265861511]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-17.8318920135498, 0.658503532409668, 2.43081641197205]::(255.0, 105.0, 114.0, 152.0)::(56.0, 7.0)->(0, 0)
[-18.2985534667969, 1.12001812458038, 2.36987471580505]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-18.5041751861572, 1.58988189697266, 2.2873911857605]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-18.1382026672363, 1.88360822200775, 2.29793190956116]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-18.00927734375, 1.57314300537109, 2.34368205070496]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-17.9412269592285, 1.85884153842926, 2.11712455749512]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-17.4414653778076, 1.47216033935547, 2.10187196731567]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-17.8388710021973, 1.16552436351776, 2.31319999694824]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-18.1948642730713, 1.71806073188782, 2.25737524032593]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-18.067455291748, 1.81513047218323, 2.40165567398071]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-18.1487045288086, 1.44704747200012, 2.41952157020569]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-18.3253173828125, 1.39094686508179, 2.28768658638]::(255.0, 105.0, 114.0, 152.0)::(52.0, 7.0)->(0, 0)
[-18.6068115234375, 1.94202446937561, 2.26312398910522]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-19.2247791290283, 2.19259476661682, 2.27489185333252]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
[-18.9222564697266, 2.04506301879883, 2.29863476753235]::(255.0, 105.0, 114.0, 152.0)::(47.0, 7.0)->(0, 0)
