[-17.7671794891357, -10.5667152404785, 3.21766114234924]::(271.0, 104.0, 113.0, 150.0)::(76.0, 9.0)->(0, 0)
[-17.353630065918, -10.5508508682251, 2.78746151924133]::(271.0, 104.0, 113.0, 150.0)::(76.0, 9.0)->(0, 0)
[-16.1475791931152, -11.0774307250977, 3.08431434631348]::(271.0, 104.0, 113.0, 150.0)::(72.0, 9.0)->(0, 0)
[-17.265007019043, -10.6061992645264, 2.91708970069885]::(271.0, 104.0, 113.0, 150.0)::(76.0, 9.0)->(0, 0)
[-17.2786502838135, -10.9648857116699, 2.8006272315979]::(271.0, 104.0, 113.0, 150.0)::(72.0, 9.0)->(0, 0)
[-17.198787689209, -10.3252859115601, 2.74894404411316]::(271.0, 104.0, 113.0, 150.0)::(76.0, 9.0)->(0, 0)
[-17.13698387146, -11.4744215011597, 3.04228639602661]::(271.0, 104.0, 113.0, 150.0)::(76.0, 9.0)->(0, 0)
[-17.5576343536377, -11.273120880127, 3.08832240104675]::(271.0, 104.0, 113.0, 150.0)::(76.0, 9.0)->(0, 0)
[-17.1515007019043, -11.0156841278076, 3.10837507247925]::(271.0, 104.0, 113.0, 150.0)::(80.0, 9.0)->(0, 0)
[-16.9272556304932, -11.125072479248, 3.00382590293884]::(271.0, 104.0, 113.0, 150.0)::(72.0, 9.0)->(0, 0)
[-18.1044692993164, -11.1419801712036, 3.06789541244507]::(271.0, 104.0, 113.0, 150.0)::(92.0, 9.0)->(1, 0)
[-17.8279247283936, -11.0503759384155, 3.12427258491516]::(271.0, 104.0, 113.0, 150.0)::(88.0, 9.0)->(1, 0)
[-17.9340858459473, -10.2257146835327, 2.82913494110107]::(271.0, 104.0, 113.0, 150.0)::(88.0, 9.0)->(1, 0)
[-17.7221260070801, -10.0204172134399, 2.750563621521]::(271.0, 104.0, 113.0, 150.0)::(92.0, 9.0)->(1, 0)
[-16.1983375549316, -11.2834539413452, 3.14064526557922]::(271.0, 104.0, 113.0, 150.0)::(88.0, 9.0)->(1, 0)
[-18.4898529052734, -11.3686246871948, 3.02916383743286]::(271.0, 104.0, 113.0, 150.0)::(92.0, 9.0)->(1, 0)
[-17.1588172912598, -11.229549407959, 2.75954270362854]::(271.0, 104.0, 113.0, 150.0)::(96.0, 9.0)->(1, 0)
[-17.2681655883789, -10.2697038650513, 2.67878198623657]::(271.0, 104.0, 113.0, 150.0)::(88.0, 9.0)->(1, 0)
[-18.0677433013916, -10.6399908065796, 2.84840106964111]::(271.0, 104.0, 113.0, 150.0)::(88.0, 9.0)->(1, 0)
[-17.34547996521, -11.3576717376709, 2.87889385223389]::(271.0, 104.0, 113.0, 150.0)::(92.0, 9.0)->(1, 0)
[-17.3572807312012, -9.60657596588135, 2.60386848449707]::(271.0, 104.0, 113.0, 150.0)::(112.0, 9.0)->(2, 0)
[-18.3879165649414, -10.3318138122559, 2.70026135444641]::(271.0, 104.0, 113.0, 150.0)::(112.0, 9.0)->(2, 0)
[-17.7814807891846, -10.2562999725342, 2.56229400634766]::(271.0, 104.0, 113.0, 150.0)::(112.0, 9.0)->(2, 0)
[-17.4851169586182, -9.7824764251709, 2.75744867324829]::(271.0, 104.0, 113.0, 150.0)::(112.0, 9.0)->(2, 0)
[-17.6836681365967, -9.65840339660645, 2.43121385574341]::(271.0, 104.0, 113.0, 150.0)::(112.0, 9.0)->(2, 0)
[-18.5118770599365, -9.907301902771, 2.49136424064636]::(271.0, 104.0, 113.0, 150.0)::(112.0, 9.0)->(2, 0)
[-17.7861614227295, -9.88822650909424, 2.556227684021]::(271.0, 104.0, 113.0, 150.0)::(112.0, 9.0)->(2, 0)
