[-17.7268295288086, 5.86919975280762, 1.57830154895782]::(264.0, 96.0, 118.0, 157.0)::(60.0, 8.0)->(0, 0)
[-19.1756706237793, 5.79869508743286, 1.49187898635864]::(264.0, 96.0, 118.0, 157.0)::(60.0, 8.0)->(0, 0)
[-17.747200012207, 6.19210433959961, 1.37685346603394]::(264.0, 96.0, 118.0, 157.0)::(60.0, 8.0)->(0, 0)
[-18.3756141662598, 5.85214185714722, 1.62433552742004]::(264.0, 96.0, 118.0, 157.0)::(60.0, 8.0)->(0, 0)
[-18.6202945709229, 5.63143634796143, 1.68552160263062]::(264.0, 96.0, 118.0, 157.0)::(60.0, 8.0)->(0, 0)
[-17.5901737213135, 6.11151790618896, 1.40934383869171]::(264.0, 96.0, 118.0, 157.0)::(60.0, 8.0)->(0, 0)
[-18.4317455291748, 5.69405269622803, 1.32042407989502]::(264.0, 96.0, 118.0, 157.0)::(60.0, 8.0)->(0, 0)
[-18.392578125, 5.37170934677124, 1.6246155500412]::(264.0, 96.0, 118.0, 157.0)::(60.0, 8.0)->(0, 0)
[-17.7186126708984, 5.67781019210815, 1.59291470050812]::(267.0, 101.0, 110.0, 146.0)::(60.0, 8.0)->(0, 0)
[-17.8450870513916, 6.26131057739258, 1.52647817134857]::(267.0, 101.0, 110.0, 146.0)::(56.0, 8.0)->(0, 0)
[-18.1501770019531, 6.44635915756226, 1.17338192462921]::(264.0, 97.0, 119.0, 158.0)::(84.0, 8.0)->(1, 0)
[-17.2285766601562, 6.87877559661865, 1.11472916603088]::(267.0, 99.0, 110.0, 146.0)::(84.0, 8.0)->(1, 0)
[-16.8256454467773, 6.78999328613281, 0.732764780521393]::(267.0, 99.0, 110.0, 146.0)::(66.0, 7.0)->(1, 0)
[-18.3534107208252, 7.51168918609619, 0.832426905632019]::(267.0, 99.0, 110.0, 146.0)::(66.0, 7.0)->(1, 0)
[-17.2627716064453, 7.41628694534302, 0.569506168365479]::(267.0, 99.0, 110.0, 146.0)::(66.0, 7.0)->(1, 0)
[-17.6824054718018, 7.71648550033569, 0.978281259536743]::(267.0, 99.0, 110.0, 146.0)::(66.0, 7.0)->(1, 0)
[-18.1148223876953, 7.06578636169434, 0.790976524353027]::(267.0, 99.0, 110.0, 146.0)::(66.0, 7.0)->(1, 0)
[-18.3215675354004, 7.61350011825562, 0.436103492975235]::(267.0, 99.0, 110.0, 146.0)::(66.0, 7.0)->(1, 0)
[-17.8986854553223, 7.24678897857666, 0.575633466243744]::(267.0, 99.0, 110.0, 146.0)::(66.0, 7.0)->(1, 0)
[-17.9662227630615, 7.12858200073242, 0.711913645267487]::(267.0, 99.0, 110.0, 146.0)::(66.0, 7.0)->(1, 0)
[-16.7403831481934, 7.63116979598999, -0.0359196290373802]::(268.0, 99.0, 118.0, 157.0)::(95.0, 7.0)->(2, 0)
[-18.1836452484131, 7.46302604675293, -0.161105901002884]::(268.0, 99.0, 118.0, 157.0)::(95.0, 7.0)->(2, 0)
