[-16.0374431610107, -16.1932125091553, 3.66929078102112]::(267.0, 114.0, 109.0, 145.0)::(69.0, 9.0)->(0, 0)
[-15.6710014343262, -16.3818988800049, 3.37851643562317]::(267.0, 114.0, 109.0, 145.0)::(69.0, 9.0)->(0, 0)
[-16.6810970306396, -16.6178092956543, 3.70779037475586]::(267.0, 114.0, 109.0, 145.0)::(69.0, 9.0)->(0, 0)
[-17.0243377685547, -16.0927410125732, 3.92865705490112]::(267.0, 114.0, 109.0, 145.0)::(69.0, 9.0)->(0, 0)
[-16.3970489501953, -17.3277149200439, 3.982741355896]::(267.0, 114.0, 109.0, 145.0)::(69.0, 9.0)->(0, 0)
[-16.7733287811279, -16.8487701416016, 4.09035110473633]::(267.0, 114.0, 109.0, 145.0)::(73.0, 9.0)->(0, 0)
[-16.2332420349121, -16.6803665161133, 3.72252821922302]::(267.0, 114.0, 109.0, 145.0)::(69.0, 9.0)->(0, 0)
[-16.9530124664307, -17.3416061401367, 3.67775249481201]::(267.0, 114.0, 109.0, 145.0)::(69.0, 9.0)->(0, 0)
[-16.4098606109619, -16.1489372253418, 3.67039036750793]::(267.0, 114.0, 109.0, 145.0)::(69.0, 9.0)->(0, 0)
[-16.2466697692871, -17.0573825836182, 4.06444263458252]::(267.0, 114.0, 109.0, 145.0)::(69.0, 9.0)->(0, 0)
[-16.723804473877, -16.8525371551514, 3.62826180458069]::(259.0, 109.0, 117.0, 156.0)::(78.0, 9.0)->(1, 0)
[-17.3311138153076, -16.7010269165039, 3.58365082740784]::(259.0, 109.0, 117.0, 156.0)::(78.0, 9.0)->(1, 0)
[-16.9130382537842, -16.6892757415771, 3.06073427200317]::(259.0, 109.0, 117.0, 156.0)::(78.0, 9.0)->(1, 0)
[-16.5318908691406, -16.4795780181885, 3.30002164840698]::(259.0, 109.0, 117.0, 156.0)::(78.0, 9.0)->(1, 0)
[-17.3547344207764, -17.0206775665283, 3.55257701873779]::(259.0, 109.0, 117.0, 156.0)::(82.0, 9.0)->(1, 0)
[-17.8590316772461, -16.4995555877686, 3.748295545578]::(263.0, 115.0, 109.0, 145.0)::(78.0, 9.0)->(1, 0)
[-18.2620811462402, -15.5380830764771, 3.61213970184326]::(263.0, 115.0, 109.0, 145.0)::(78.0, 9.0)->(1, 0)
[-17.515079498291, -15.7781553268433, 3.68637275695801]::(263.0, 115.0, 109.0, 145.0)::(91.0, 10.0)->(1, 0)
[-17.5142917633057, -15.6841154098511, 3.45365715026855]::(263.0, 115.0, 109.0, 145.0)::(100.0, 10.0)->(1, 0)
[-17.1866455078125, -15.9623689651489, 3.38504767417908]::(263.0, 115.0, 109.0, 145.0)::(100.0, 10.0)->(1, 0)
[-17.1846790313721, -15.6061410903931, 3.24638772010803]::(262.0, 114.0, 111.0, 148.0)::(113.0, 10.0)->(2, 0)
[-16.2377243041992, -16.0080680847168, 2.89951086044312]::(262.0, 114.0, 111.0, 148.0)::(113.0, 10.0)->(2, 0)
[-16.5160942077637, -16.4559173583984, 3.3220419883728]::(262.0, 114.0, 111.0, 148.0)::(113.0, 10.0)->(2, 0)
[-16.7386837005615, -15.6936349868774, 3.25269794464111]::(262.0, 114.0, 111.0, 148.0)::(113.0, 10.0)->(2, 0)
[-16.6537094116211, -16.4913921356201, 3.08040261268616]::(262.0, 114.0, 111.0, 148.0)::(113.0, 10.0)->(2, 0)
[-16.0974864959717, -15.8916797637939, 2.9837429523468]::(262.0, 114.0, 111.0, 148.0)::(113.0, 10.0)->(2, 0)
[-16.6072120666504, -16.1481781005859, 3.15291404724121]::(262.0, 114.0, 111.0, 148.0)::(108.0, 10.0)->(2, 0)
[-16.4713306427002, -15.3755445480347, 3.08641934394836]::(262.0, 114.0, 111.0, 148.0)::(108.0, 10.0)->(2, 0)
[-16.9537677764893, -16.2908840179443, 3.03680896759033]::(262.0, 114.0, 111.0, 148.0)::(108.0, 10.0)->(2, 0)
[-16.0685214996338, -16.8027954101562, 3.17101192474365]::(262.0, 114.0, 111.0, 148.0)::(108.0, 10.0)->(2, 0)
[-14.9321737289429, -18.359094619751, 3.15597033500671]::(266.0, 114.0, 106.0, 141.0)::(117.0, 10.0)->(3, 0)
[-15.7320194244385, -17.0111026763916, 3.08618569374084]::(259.0, 112.0, 116.0, 154.0)::(113.0, 10.0)->(3, 0)
[-15.6084680557251, -16.5879058837891, 3.12057447433472]::(259.0, 112.0, 116.0, 154.0)::(121.0, 10.0)->(3, 0)
[-16.8083190917969, -16.4260234832764, 3.19244956970215]::(259.0, 112.0, 116.0, 154.0)::(121.0, 10.0)->(3, 0)
[-16.1495914459229, -16.993034362793, 3.20232844352722]::(259.0, 112.0, 116.0, 154.0)::(121.0, 10.0)->(3, 0)
[-15.6064224243164, -16.6499404907227, 3.02762269973755]::(259.0, 112.0, 116.0, 154.0)::(121.0, 10.0)->(3, 0)
[-16.1068286895752, -16.6822700500488, 3.28396534919739]::(259.0, 112.0, 116.0, 154.0)::(121.0, 10.0)->(3, 0)
[-16.007007598877, -16.662841796875, 2.9527952671051]::(259.0, 112.0, 116.0, 154.0)::(121.0, 10.0)->(3, 0)
