[-24.1604957580566, 10.631178855896, -0.777708888053894]::(250.0, 87.0, 148.0, 197.0)::(66.0, 9.0)->(0, 0)
[-24.1204605102539, 11.1513156890869, -0.810448527336121]::(250.0, 87.0, 148.0, 197.0)::(63.0, 9.0)->(0, 0)
[-23.3431358337402, 10.4668369293213, -0.602187395095825]::(250.0, 87.0, 148.0, 197.0)::(54.0, 9.0)->(0, 0)
[-24.3102188110352, 10.7611713409424, -0.523987948894501]::(250.0, 87.0, 148.0, 197.0)::(60.0, 9.0)->(0, 0)
[-24.0200996398926, 10.504753112793, -0.63593864440918]::(250.0, 87.0, 148.0, 197.0)::(57.0, 9.0)->(0, 0)
[-23.8690433502197, 10.4460582733154, -0.64045512676239]::(250.0, 87.0, 148.0, 197.0)::(54.0, 9.0)->(0, 0)
[-24.0617504119873, 11.3531837463379, -0.659842252731323]::(250.0, 87.0, 148.0, 197.0)::(60.0, 9.0)->(0, 0)
[-24.0184478759766, 11.1640720367432, -0.807602822780609]::(250.0, 87.0, 148.0, 197.0)::(57.0, 9.0)->(0, 0)
[-24.1358108520508, 11.1458883285522, -0.814596891403198]::(250.0, 87.0, 148.0, 197.0)::(63.0, 9.0)->(0, 0)
[-23.8761520385742, 11.0297975540161, -0.783904135227203]::(250.0, 87.0, 148.0, 197.0)::(63.0, 9.0)->(0, 0)
[-22.839937210083, 11.5138359069824, -0.827967703342438]::(252.0, 82.0, 147.0, 196.0)::(68.0, 9.0)->(1, 0)
[-23.1682682037354, 11.3057050704956, -0.761360228061676]::(252.0, 82.0, 147.0, 196.0)::(68.0, 9.0)->(1, 0)
[-23.2232036590576, 11.3781986236572, -0.626124918460846]::(252.0, 82.0, 147.0, 196.0)::(68.0, 9.0)->(1, 0)
[-23.3620986938477, 11.1257877349854, -0.79571920633316]::(252.0, 82.0, 147.0, 196.0)::(68.0, 9.0)->(1, 0)
[-23.9628009796143, 10.8568410873413, -0.810590326786041]::(252.0, 82.0, 147.0, 196.0)::(68.0, 9.0)->(1, 0)
[-24.0367279052734, 11.2581014633179, -0.75238972902298]::(252.0, 82.0, 147.0, 196.0)::(68.0, 9.0)->(1, 0)
[-23.7278747558594, 11.2549924850464, -0.875294327735901]::(252.0, 82.0, 147.0, 196.0)::(68.0, 9.0)->(1, 0)
[-23.5723533630371, 11.1883611679077, -0.999087512493134]::(252.0, 82.0, 147.0, 196.0)::(68.0, 9.0)->(1, 0)
[-23.5538597106934, 11.0417680740356, -0.922161161899567]::(252.0, 82.0, 147.0, 196.0)::(68.0, 9.0)->(1, 0)
[-23.5326843261719, 10.7705688476562, -0.855630040168762]::(252.0, 82.0, 147.0, 196.0)::(68.0, 9.0)->(1, 0)
[-23.9702930450439, 10.9147901535034, -1.11890995502472]::(254.0, 84.0, 147.0, 196.0)::(68.0, 9.0)->(2, 0)
[-23.9109668731689, 11.3458795547485, -1.2263491153717]::(254.0, 84.0, 147.0, 196.0)::(65.0, 9.0)->(2, 0)
[-24.0072212219238, 11.6258296966553, -1.01615190505981]::(254.0, 84.0, 147.0, 196.0)::(65.0, 9.0)->(2, 0)
[-23.9496269226074, 11.581618309021, -1.29718661308289]::(254.0, 84.0, 147.0, 196.0)::(65.0, 9.0)->(2, 0)
[-23.8678417205811, 11.2325477600098, -1.44338798522949]::(254.0, 84.0, 147.0, 196.0)::(65.0, 9.0)->(2, 0)
[-23.1953277587891, 11.425760269165, -1.22902238368988]::(254.0, 84.0, 147.0, 196.0)::(68.0, 9.0)->(2, 0)
[-23.6966953277588, 11.5524387359619, -1.08368003368378]::(254.0, 84.0, 147.0, 196.0)::(65.0, 9.0)->(2, 0)
[-22.9878463745117, 11.6340312957764, -1.20791113376617]::(254.0, 84.0, 147.0, 196.0)::(65.0, 9.0)->(2, 0)
[-23.4211330413818, 11.1303577423096, -1.22889196872711]::(254.0, 84.0, 147.0, 196.0)::(65.0, 9.0)->(2, 0)
[-23.3329620361328, 10.69420337677, -1.20135998725891]::(254.0, 84.0, 147.0, 196.0)::(65.0, 9.0)->(2, 0)
[-23.5505104064941, 10.706690788269, -1.30893123149872]::(255.0, 87.0, 147.0, 196.0)::(93.0, 9.0)->(3, 0)
[-24.3096752166748, 10.9892330169678, -1.31305861473083]::(255.0, 87.0, 147.0, 196.0)::(93.0, 9.0)->(3, 0)
[-24.2029800415039, 10.7019605636597, -1.40783643722534]::(255.0, 87.0, 147.0, 196.0)::(90.0, 9.0)->(3, 0)
[-24.066801071167, 10.8638982772827, -1.47654891014099]::(255.0, 87.0, 147.0, 196.0)::(93.0, 9.0)->(3, 0)
[-24.1278514862061, 11.3722887039185, -1.33488535881042]::(255.0, 87.0, 147.0, 196.0)::(93.0, 9.0)->(3, 0)
[-23.5572757720947, 10.8795909881592, -1.3020726442337]::(249.0, 82.0, 156.0, 208.0)::(93.0, 9.0)->(3, 0)
[-23.6166973114014, 11.6288080215454, -1.57553350925446]::(249.0, 82.0, 156.0, 208.0)::(93.0, 9.0)->(3, 0)
[-24.1527919769287, 10.8958530426025, -1.44563829898834]::(249.0, 82.0, 156.0, 208.0)::(93.0, 9.0)->(3, 0)
[-24.0180606842041, 11.3054552078247, -1.35858082771301]::(254.0, 85.0, 148.0, 197.0)::(93.0, 9.0)->(3, 0)
[-24.2956447601318, 11.4032678604126, -1.54045462608337]::(254.0, 85.0, 148.0, 197.0)::(93.0, 9.0)->(3, 0)
[-24.2595195770264, 11.1149415969849, -1.79786312580109]::(253.0, 84.0, 155.0, 206.0)::(103.0, 10.0)->(4, 0)
[-24.1372947692871, 11.0896520614624, -1.86522090435028]::(253.0, 84.0, 155.0, 206.0)::(106.0, 10.0)->(4, 0)
[-23.2726230621338, 11.8662796020508, -2.0296413898468]::(253.0, 84.0, 155.0, 206.0)::(106.0, 10.0)->(4, 0)
[-23.7060890197754, 11.2612447738647, -1.68623030185699]::(253.0, 84.0, 155.0, 206.0)::(106.0, 10.0)->(4, 0)
[-23.7229919433594, 11.0797338485718, -1.57341480255127]::(253.0, 84.0, 155.0, 206.0)::(103.0, 10.0)->(4, 0)
[-23.691234588623, 11.1563692092896, -1.5536128282547]::(253.0, 84.0, 155.0, 206.0)::(103.0, 10.0)->(4, 0)
[-23.9496288299561, 11.8127689361572, -1.75992298126221]::(253.0, 84.0, 155.0, 206.0)::(106.0, 10.0)->(4, 0)
[-23.7401237487793, 10.7622604370117, -1.5467346906662]::(253.0, 84.0, 155.0, 206.0)::(106.0, 10.0)->(4, 0)
[-23.4693698883057, 11.4115390777588, -1.62488079071045]::(253.0, 84.0, 155.0, 206.0)::(106.0, 10.0)->(4, 0)
[-23.2648162841797, 11.437536239624, -1.77820301055908]::(253.0, 84.0, 155.0, 206.0)::(106.0, 10.0)->(4, 0)
