[-13.3901233673096, 1.73599541187286, 1.76629960536957]::(229.0, 63.0, 185.0, 246.0)::(50.0, 12.0)->(0, 0)
[-12.634181022644, 2.16575717926025, 1.65991139411926]::(229.0, 63.0, 185.0, 246.0)::(50.0, 12.0)->(0, 0)
[-12.5508155822754, 1.60323083400726, 1.61758065223694]::(229.0, 63.0, 185.0, 246.0)::(50.0, 12.0)->(0, 0)
[-12.1876649856567, 1.26808547973633, 1.87712645530701]::(229.0, 63.0, 185.0, 246.0)::(50.0, 12.0)->(0, 0)
[-12.1937227249146, 0.958376288414001, 1.7307140827179]::(229.0, 63.0, 185.0, 246.0)::(50.0, 12.0)->(0, 0)
[-12.7954292297363, 1.61311769485474, 1.64023864269257]::(229.0, 63.0, 185.0, 246.0)::(50.0, 12.0)->(0, 0)
[-12.7608127593994, 1.85664582252502, 1.78218686580658]::(229.0, 63.0, 185.0, 246.0)::(50.0, 12.0)->(0, 0)
[-12.1525707244873, 1.99024367332458, 1.7313859462738]::(229.0, 63.0, 185.0, 246.0)::(50.0, 12.0)->(0, 0)
[-12.2530298233032, 1.54137372970581, 1.81635224819183]::(229.0, 63.0, 185.0, 246.0)::(50.0, 12.0)->(0, 0)
[-12.7918186187744, 2.15955591201782, 1.72135865688324]::(229.0, 63.0, 185.0, 246.0)::(50.0, 12.0)->(0, 0)
[-12.9282302856445, 1.98326134681702, 1.75199723243713]::(229.0, 63.0, 185.0, 246.0)::(66.0, 11.0)->(1, 0)
[-12.8219747543335, 1.96518456935883, 1.54189836978912]::(229.0, 63.0, 185.0, 246.0)::(69.0, 11.0)->(1, 0)
[-12.7046756744385, 1.66917335987091, 1.65428149700165]::(229.0, 63.0, 185.0, 246.0)::(69.0, 11.0)->(1, 0)
[-12.5723628997803, 1.66818869113922, 1.68060398101807]::(229.0, 63.0, 185.0, 246.0)::(69.0, 11.0)->(1, 0)
[-13.0897445678711, 1.57038855552673, 1.59894597530365]::(229.0, 63.0, 185.0, 246.0)::(71.0, 11.0)->(1, 0)
[-13.124195098877, 1.47319161891937, 1.59212779998779]::(229.0, 63.0, 185.0, 246.0)::(69.0, 11.0)->(1, 0)
[-13.0308771133423, 2.19259905815125, 1.52135920524597]::(229.0, 63.0, 185.0, 246.0)::(69.0, 11.0)->(1, 0)
[-13.4924602508545, 1.65514039993286, 1.5599616765976]::(229.0, 63.0, 185.0, 246.0)::(66.0, 11.0)->(1, 0)
[-13.1059656143188, 1.90557134151459, 1.72886908054352]::(229.0, 63.0, 185.0, 246.0)::(66.0, 11.0)->(1, 0)
[-12.5185518264771, 1.50320410728455, 1.74570763111115]::(229.0, 63.0, 185.0, 246.0)::(69.0, 11.0)->(1, 0)
[-13.0092811584473, 1.57085084915161, 1.309605717659]::(227.0, 65.0, 187.0, 249.0)::(110.0, 13.0)->(2, 0)
[-14.0461444854736, 1.3904857635498, 1.46458387374878]::(227.0, 65.0, 187.0, 249.0)::(107.0, 13.0)->(2, 0)
[-13.3602142333984, 1.11966383457184, 1.49410486221313]::(227.0, 65.0, 187.0, 249.0)::(110.0, 13.0)->(2, 0)
[-13.6815423965454, 0.527141928672791, 1.49232339859009]::(227.0, 65.0, 187.0, 249.0)::(110.0, 13.0)->(2, 0)
[-14.2236566543579, 1.02088677883148, 1.27770173549652]::(227.0, 65.0, 187.0, 249.0)::(102.0, 13.0)->(2, 0)
[-14.4202680587769, 1.71555030345917, 1.28471004962921]::(227.0, 65.0, 187.0, 249.0)::(110.0, 13.0)->(2, 0)
[-14.0156736373901, 1.43758881092072, 1.30787253379822]::(227.0, 65.0, 187.0, 249.0)::(107.0, 13.0)->(2, 0)
[-13.8715333938599, 1.24331319332123, 1.41476774215698]::(227.0, 65.0, 187.0, 249.0)::(107.0, 13.0)->(2, 0)
[-13.7713384628296, 0.931313812732697, 1.36995756626129]::(227.0, 65.0, 187.0, 249.0)::(100.0, 13.0)->(2, 0)
[-13.6153621673584, 0.836679816246033, 1.37850034236908]::(227.0, 65.0, 187.0, 249.0)::(102.0, 13.0)->(2, 0)
[-14.8872699737549, 0.92749959230423, 1.17243373394012]::(227.0, 65.0, 187.0, 249.0)::(113.0, 12.0)->(3, 0)
[-15.2781715393066, 1.5189174413681, 1.12010645866394]::(227.0, 65.0, 187.0, 249.0)::(115.0, 12.0)->(3, 0)
[-15.0806398391724, 1.88865876197815, 0.737555801868439]::(227.0, 65.0, 187.0, 249.0)::(115.0, 12.0)->(3, 0)
[-14.8506155014038, 1.2133309841156, 0.962180614471436]::(227.0, 65.0, 187.0, 249.0)::(115.0, 12.0)->(3, 0)
[-14.9680948257446, 0.86644434928894, 1.1368567943573]::(227.0, 65.0, 187.0, 249.0)::(115.0, 12.0)->(3, 0)
[-14.209527015686, 1.34474873542786, 0.996679663658142]::(227.0, 65.0, 187.0, 249.0)::(113.0, 12.0)->(3, 0)
[-15.3305950164795, 1.5569657087326, 1.10616660118103]::(227.0, 65.0, 187.0, 249.0)::(115.0, 12.0)->(3, 0)
[-14.4940338134766, 1.47987186908722, 1.072016954422]::(227.0, 65.0, 187.0, 249.0)::(115.0, 12.0)->(3, 0)
[-14.6550960540771, 1.20960640907288, 0.892170786857605]::(227.0, 65.0, 187.0, 249.0)::(113.0, 12.0)->(3, 0)
[-14.5913829803467, 0.850139319896698, 1.11660993099213]::(227.0, 65.0, 187.0, 249.0)::(113.0, 12.0)->(3, 0)
[-15.9674577713013, 0.706606566905975, 0.949254035949707]::(227.0, 59.0, 188.0, 250.0)::(145.0, 11.0)->(4, 0)
[-15.7577438354492, 0.952531456947327, 0.851108908653259]::(227.0, 59.0, 188.0, 250.0)::(145.0, 11.0)->(4, 0)
[-16.3767166137695, 1.34109175205231, 0.828117072582245]::(227.0, 59.0, 188.0, 250.0)::(145.0, 11.0)->(4, 0)
[-16.5537910461426, 1.93899595737457, 0.804965853691101]::(227.0, 59.0, 188.0, 250.0)::(145.0, 11.0)->(4, 0)
[-16.4554595947266, 0.813918828964233, 0.961432993412018]::(227.0, 59.0, 188.0, 250.0)::(145.0, 11.0)->(4, 0)
[-16.0613346099854, 0.708409786224365, 0.978488326072693]::(227.0, 59.0, 188.0, 250.0)::(145.0, 11.0)->(4, 0)
[-16.0336742401123, 1.23295962810516, 0.611729145050049]::(227.0, 59.0, 188.0, 250.0)::(145.0, 11.0)->(4, 0)
[-15.7289543151855, 1.08893072605133, 0.887404918670654]::(227.0, 59.0, 188.0, 250.0)::(145.0, 11.0)->(4, 0)
[-16.1402034759521, 0.599116384983063, 0.926748275756836]::(227.0, 59.0, 188.0, 250.0)::(145.0, 11.0)->(4, 0)
[-16.5923175811768, 0.230287536978722, 0.871797204017639]::(227.0, 59.0, 188.0, 250.0)::(145.0, 11.0)->(4, 0)
