[-18.9699211120605, 20.1700420379639, -1.23507332801819]::(255.0, 111.0, 124.0, 165.0)::(56.0, 8.0)->(0, 0)
[-18.9547214508057, 19.7103004455566, -1.23031389713287]::(255.0, 111.0, 124.0, 165.0)::(56.0, 8.0)->(0, 0)
[-19.203067779541, 19.4133281707764, -1.13157296180725]::(255.0, 111.0, 124.0, 165.0)::(56.0, 8.0)->(0, 0)
[-18.912654876709, 19.8335418701172, -1.34759175777435]::(255.0, 111.0, 124.0, 165.0)::(56.0, 8.0)->(0, 0)
[-18.563175201416, 19.507194519043, -1.07057821750641]::(255.0, 111.0, 124.0, 165.0)::(52.0, 8.0)->(0, 0)
[-18.9061183929443, 19.7929534912109, -1.0742689371109]::(255.0, 111.0, 124.0, 165.0)::(52.0, 8.0)->(0, 0)
[-19.0521507263184, 19.7876148223877, -1.07620000839233]::(255.0, 111.0, 124.0, 165.0)::(52.0, 8.0)->(0, 0)
[-18.6245403289795, 20.1081809997559, -1.32709836959839]::(255.0, 111.0, 124.0, 165.0)::(52.0, 8.0)->(0, 0)
[-18.9740161895752, 19.7459087371826, -1.05610418319702]::(255.0, 111.0, 124.0, 165.0)::(52.0, 8.0)->(0, 0)
[-18.9326667785645, 19.7803821563721, -1.20684885978699]::(255.0, 111.0, 124.0, 165.0)::(52.0, 8.0)->(0, 0)
[-19.6941013336182, 20.6161651611328, -1.66490697860718]::(262.0, 109.0, 128.0, 170.0)::(60.0, 8.0)->(1, 0)
[-19.2586898803711, 19.7732524871826, -1.43235230445862]::(262.0, 109.0, 128.0, 170.0)::(50.0, 8.0)->(1, 0)
[-19.7540130615234, 20.3139266967773, -1.66025161743164]::(262.0, 109.0, 128.0, 170.0)::(50.0, 8.0)->(1, 0)
[-19.3634490966797, 19.6157569885254, -1.4930716753006]::(262.0, 109.0, 128.0, 170.0)::(50.0, 8.0)->(1, 0)
[-19.6221790313721, 19.9626865386963, -1.72443640232086]::(262.0, 109.0, 128.0, 170.0)::(50.0, 8.0)->(1, 0)
[-19.5488834381104, 20.2790756225586, -1.73259007930756]::(262.0, 109.0, 128.0, 170.0)::(50.0, 8.0)->(1, 0)
[-18.8961944580078, 19.8354225158691, -1.53350579738617]::(262.0, 109.0, 128.0, 170.0)::(50.0, 8.0)->(1, 0)
[-19.0987110137939, 20.3445529937744, -1.50090563297272]::(262.0, 109.0, 128.0, 170.0)::(50.0, 8.0)->(1, 0)
[-19.415111541748, 20.2751407623291, -1.59331178665161]::(262.0, 109.0, 128.0, 170.0)::(50.0, 8.0)->(1, 0)
[-19.5670509338379, 20.1630535125732, -1.55737805366516]::(262.0, 109.0, 128.0, 170.0)::(50.0, 8.0)->(1, 0)
[-19.5075607299805, 20.8995590209961, -1.72252476215363]::(265.0, 108.0, 127.0, 169.0)::(68.0, 8.0)->(2, 0)
[-19.3821487426758, 21.2079315185547, -1.84709143638611]::(265.0, 108.0, 127.0, 169.0)::(68.0, 8.0)->(2, 0)
