[-16.9394874572754, -10.7628870010376, 2.9635317325592]::(225.0, 70.0, 189.0, 252.0)::(54.0, 14.0)->(0, 0)
[-17.4110984802246, -9.96380519866943, 3.00575184822083]::(225.0, 70.0, 189.0, 252.0)::(52.0, 14.0)->(0, 0)
[-17.5417461395264, -10.8623161315918, 3.07769751548767]::(225.0, 70.0, 189.0, 252.0)::(52.0, 14.0)->(0, 0)
[-17.9616756439209, -10.4369258880615, 2.89828395843506]::(225.0, 70.0, 189.0, 252.0)::(52.0, 14.0)->(0, 0)
[-17.5116996765137, -10.132022857666, 3.08681106567383]::(225.0, 70.0, 189.0, 252.0)::(52.0, 14.0)->(0, 0)
[-17.1880722045898, -10.4925842285156, 3.0951623916626]::(225.0, 70.0, 189.0, 252.0)::(69.0, 14.0)->(0, 0)
[-17.1036930084229, -10.0242614746094, 3.02814126014709]::(225.0, 77.0, 180.0, 240.0)::(64.0, 14.0)->(0, 0)
[-17.6714992523193, -10.6218891143799, 2.96304821968079]::(225.0, 77.0, 180.0, 240.0)::(66.0, 14.0)->(0, 0)
[-18.1394348144531, -9.97706127166748, 3.40804982185364]::(225.0, 77.0, 180.0, 240.0)::(66.0, 14.0)->(0, 0)
[-17.7138710021973, -10.6198844909668, 3.12189078330994]::(225.0, 66.0, 191.0, 254.0)::(66.0, 14.0)->(0, 0)
[-16.6323165893555, -10.4926261901855, 2.56461381912231]::(229.0, 72.0, 187.0, 249.0)::(71.0, 13.0)->(1, 0)
[-17.1258449554443, -11.1482057571411, 2.78536248207092]::(229.0, 72.0, 187.0, 249.0)::(69.0, 13.0)->(1, 0)
[-17.4791278839111, -10.5890922546387, 2.76541996002197]::(229.0, 72.0, 187.0, 249.0)::(71.0, 13.0)->(1, 0)
[-16.7346038818359, -10.239818572998, 2.81343102455139]::(229.0, 72.0, 187.0, 249.0)::(71.0, 13.0)->(1, 0)
[-16.3640327453613, -10.7054309844971, 2.84201645851135]::(229.0, 72.0, 187.0, 249.0)::(71.0, 13.0)->(1, 0)
[-17.199914932251, -10.6157970428467, 2.97557353973389]::(229.0, 72.0, 187.0, 249.0)::(71.0, 13.0)->(1, 0)
[-16.8919563293457, -10.4265785217285, 2.52133011817932]::(229.0, 72.0, 187.0, 249.0)::(71.0, 13.0)->(1, 0)
[-16.5481510162354, -10.9722843170166, 2.75205039978027]::(229.0, 72.0, 187.0, 249.0)::(71.0, 13.0)->(1, 0)
[-16.5910911560059, -10.5201053619385, 2.77619886398315]::(229.0, 72.0, 187.0, 249.0)::(71.0, 13.0)->(1, 0)
[-17.4987602233887, -10.0778131484985, 2.57456231117249]::(220.0, 62.0, 197.0, 262.0)::(71.0, 13.0)->(1, 0)
[-17.2342300415039, -10.4022760391235, 2.13658976554871]::(228.0, 64.0, 186.0, 248.0)::(97.0, 12.0)->(2, 0)
[-17.6891536712646, -10.3038234710693, 2.36878347396851]::(228.0, 64.0, 186.0, 248.0)::(95.0, 12.0)->(2, 0)
[-18.1287269592285, -10.1591119766235, 2.46274375915527]::(228.0, 64.0, 186.0, 248.0)::(95.0, 12.0)->(2, 0)
[-17.4247817993164, -10.8034582138062, 2.41911816596985]::(228.0, 64.0, 186.0, 248.0)::(95.0, 12.0)->(2, 0)
[-17.6085414886475, -10.5913982391357, 2.10931658744812]::(228.0, 64.0, 186.0, 248.0)::(97.0, 12.0)->(2, 0)
